Item,Year,Value ,refValue
Beer or barley,2000,363247,363
Beer or barley,2001,363248,363
Beer or barley,2002,363249,363
Beer or barley,2003,363250,363
Beer or barley,2004,363251,363
Beer or barley,2005,363252,363
Beer or barley,2006,363253,363
Beer or barley,2007,363254,363
Beer or barley,2008,363255,363
Beer or barley,2009,363256,363
Beer or barley,2010,363257,363
Beer or barley,2011,363258,363
Beer or barley,2012,538600,539
Beer or barley,2013,520600,521
Beer or barley,2014,2000000,2000
Beer or barley,2015,2120000,2120
Beer or barley,2016,2210000,2210
Beer or barley,2017,2250000,2250
Beer or barley,2018,2360000,2360
Beer or barley,2019,2400000,2400
Beer or barley,2020,1423000,1423
Beer or barley,2021,2204400,2204
Beer or barley,2022,2551700,2552
Coconut oil,2000,420000,420
Coconut oil,2001,426000,426
Coconut oil,2002,432000,432
Coconut oil,2003,414000,414
Coconut oil,2004,420000,420
Coconut oil,2005,370000,370
Coconut oil,2006,353000,353
Coconut oil,2007,400800,401
Coconut oil,2008,406800,407
Coconut oil,2009,394800,395
Coconut oil,2010,369000,369
Coconut oil,2011,379000,379
Coconut oil,2012,391800,392
Coconut oil,2013,375600,376
Coconut oil,2014,395400,395
Coconut oil,2015,370800,371
Coconut oil,2016,337200,337
Coconut oil,2017,247200,247
Coconut oil,2018,320400,320
Coconut oil,2019,351600,352
Coconut oil,2020,339000,339
Coconut oil,2021,366000,366
Coconut oil,2022,360000,360
Cotton,2000,1640900,1641
Cotton,2001,1699490,1699
Cotton,2002,1466080,1466
Cotton,2003,2334000,2334
Cotton,2004,2792800,2793
Cotton,2005,3145000,3145
Cotton,2006,3847000,3847
Cotton,2007,4400000,4400
Cotton,2008,3787000,3787
Cotton,2009,4083400,4083
Cotton,2010,5683000,5683
Cotton,2011,5984000,5984
Cotton,2012,5817400,5817
Cotton,2013,6052000,6052
Cotton,2014,5916850,5917
Cotton,2015,5100850,5101
Cotton,2016,5542000,5542
Cotton,2017,5538090,5538
Cotton,2018,5576850,5577
Cotton,2019,4767140,4767
Cotton,2020,6131050,6131
Cotton,2021,5992160,5992
Cotton,2022,5290060,5290
Cotton seed,2000,3333000,3333
Cotton seed,2001,3452000,3452
Cotton seed,2002,2978000,2978
Cotton seed,2003,4741100,4741
Cotton seed,2004,5673000,5673
Cotton seed,2005,6388000,6388
Cotton seed,2006,7815000,7815
Cotton seed,2007,8938000,8938
Cotton seed,2008,7692000,7692
Cotton seed,2009,8294400,8294
Cotton seed,2010,11543800,11544
Cotton seed,2011,12465800,12466
Cotton seed,2012,11816600,11817
Cotton seed,2013,12293100,12293
Cotton seed,2014,12017000,12017
Cotton seed,2015,10363000,10363
Cotton seed,2016,11250000,11250
Cotton seed,2017,11848000,11848
Cotton seed,2018,9889000,9889
Cotton seed,2019,11400000,11400
Cotton seed,2020,11500000,11500
Cotton seed,2021,11200000,11200
Cotton seed,2022,9700000,9700
Cottonseed oil,2000,460000,460
Cottonseed oil,2001,470000,470
Cottonseed oil,2002,430000,430
Cottonseed oil,2003,430000,430
Cottonseed oil,2004,430000,430
Cottonseed oil,2005,570000,570
Cottonseed oil,2006,630000,630
Cottonseed oil,2007,800000,800
Cottonseed oil,2008,760000,760
Cottonseed oil,2009,800000,800
Cottonseed oil,2010,1089000,1089
Cottonseed oil,2011,1162000,1162
Cottonseed oil,2012,1116000,1116
Cottonseed oil,2013,1053500,1054
Cottonseed oil,2014,1215000,1215
Cottonseed oil,2015,1005000,1005
Cottonseed oil,2016,1224000,1224
Cottonseed oil,2017,1264000,1264
Cottonseed oil,2018,1240400,1240
Cottonseed oil,2019,1199100,1199
Cottonseed oil,2020,1259400,1259
Cottonseed oil,2021,1223000,1223
Cottonseed oil,2022,1055900,1056
Tea,2010,991182,991
Tea,2011,1095460,1095
Tea,2012,1135070,1135
Tea,2013,1208780,1209
Tea,2014,1207310,1207
Tea,2015,1233140,1233
Tea,2016,1250490,1250
Tea,2017,1325050,1325
Tea,2018,1338630,1339
Tea,2019,1390080,1390
Tea,2020,1261545,1262
Tea,2021,1348748,1349
Tea,2022,1372835,1373
Groundnut oil,2000,1474000,1474
Groundnut oil,2001,1616000,1616
Groundnut oil,2002,948000,948
Groundnut oil,2003,1869000,1869
Groundnut oil,2004,1558000,1558
Groundnut oil,2005,1838000,1838
Groundnut oil,2006,1119000,1119
Groundnut oil,2007,2112000,2112
Groundnut oil,2008,1648000,1648
Groundnut oil,2009,1249000,1249
Groundnut oil,2010,1901000,1901
Groundnut oil,2011,1595000,1595
Groundnut oil,2012,1602000,1602
Groundnut oil,2013,1250000,1250
Groundnut oil,2014,1037000,1037
