Item,Year,Value
Anise badian coriander cumin caraway fennel and juniper berries raw,2000,484
Anise badian coriander cumin caraway fennel and juniper berries raw,2001,430.3
Anise badian coriander cumin caraway fennel and juniper berries raw,2002,296.8
Anise badian coriander cumin caraway fennel and juniper berries raw,2003,534.5
Anise badian coriander cumin caraway fennel and juniper berries raw,2004,553.1
Anise badian coriander cumin caraway fennel and juniper berries raw,2005,584.4
Anise badian coriander cumin caraway fennel and juniper berries raw,2006,568.1
Anise badian coriander cumin caraway fennel and juniper berries raw,2007,701.3
Anise badian coriander cumin caraway fennel and juniper berries raw,2008,657.5
Anise badian coriander cumin caraway fennel and juniper berries raw,2009,684.4
Anise badian coriander cumin caraway fennel and juniper berries raw,2010,736.7
Anise badian coriander cumin caraway fennel and juniper berries raw,2011,774.7
Anise badian coriander cumin caraway fennel and juniper berries raw,2012,774.6
Anise badian coriander cumin caraway fennel and juniper berries raw,2013,784
Anise badian coriander cumin caraway fennel and juniper berries raw,2014,790.9
Anise badian coriander cumin caraway fennel and juniper berries raw,2015,799.4
Anise badian coriander cumin caraway fennel and juniper berries raw,2016,714.9
Anise badian coriander cumin caraway fennel and juniper berries raw,2017,989
Anise badian coriander cumin caraway fennel and juniper berries raw,2018,961
Anise badian coriander cumin caraway fennel and juniper berries raw,2019,912.4
Anise badian coriander cumin caraway fennel and juniper berries raw,2020,928.5
Anise badian coriander cumin caraway fennel and juniper berries raw,2021,998.4
Anise badian coriander cumin caraway fennel and juniper berries raw,2022,1009.4
Anise badian coriander cumin caraway fennel and juniper berries raw,2023,1026.4
Apples,2000,4565.2
Apples,2001,5125
Apples,2002,4833.3
Apples,2003,5880
Apples,2004,7562.6
Apples,2005,7537.9
Apples,2006,8005.3
Apples,2007,6444.4
Apples,2008,7579.5
Apples,2009,7244.5
Apples,2010,6282.1
Apples,2011,10000
Apples,2012,6845
Apples,2013,6137.8
Apples,2014,7978.8
Apples,2015,6689.7
Apples,2016,9101.1
Apples,2017,7426.2
Apples,2018,7730.9
Apples,2019,7519.5
Apples,2020,9077.4
Apples,2021,7271.6
Apples,2022,8219
Apples,2023,9460.5
Apricots,2000,2856.4
Apricots,2001,2846
Apricots,2002,2835.5
Apricots,2003,2825.1
Apricots,2004,2820.4
Apricots,2005,2821.6
Apricots,2006,2822.8
Apricots,2007,2824
Apricots,2008,2825.1
Apricots,2009,2826.3
Apricots,2010,2827.5
Apricots,2011,2828.7
Apricots,2012,2829.9
Apricots,2013,2831
Apricots,2014,2823.1
Apricots,2015,2825.2
Apricots,2016,2820.7
Apricots,2017,2815.4
Apricots,2018,2808
Apricots,2019,2802.2
Apricots,2020,2805.2
Apricots,2021,2808.2
Apricots,2022,2806.5
Apricots,2023,2846.8
Areca nuts,2000,1137.9
Areca nuts,2001,1137.9
Areca nuts,2002,1379.3
Areca nuts,2003,1176.9
Areca nuts,2004,1203.3
Areca nuts,2005,1242.7
Areca nuts,2006,1267.6
Areca nuts,2007,1262.9
Areca nuts,2008,1231.2
Areca nuts,2009,1243.3
Areca nuts,2010,1194.7
Areca nuts,2011,1194.7
Areca nuts,2012,1467.7
Areca nuts,2013,1365.5
Areca nuts,2014,1376.1
Areca nuts,2015,1660
Areca nuts,2016,1506.3
Areca nuts,2017,1589
Areca nuts,2018,1676.1
Areca nuts,2019,1726.1
Areca nuts,2020,1850.1
Areca nuts,2021,1968.5
Areca nuts,2022,1962.3
Areca nuts,2023,1459.5
Bananas,2000,30098.6
Bananas,2001,30480.3
Bananas,2002,27991.6
Bananas,2003,27791
Bananas,2004,28399.8
Bananas,2005,33165.6
Bananas,2006,34753.1
Bananas,2007,36205.2
Bananas,2008,36977.4
Bananas,2009,34362.6
Bananas,2010,35879.5
Bananas,2011,35725.2
Bananas,2012,34161.1
Bananas,2013,34642
Bananas,2014,37036.7
Bananas,2015,35548.7
Bananas,2016,34643.3
Bananas,2017,35438.4
Bananas,2018,34850.7
Bananas,2019,35173.2
Bananas,2020,36340
Bananas,2021,35781.4
Bananas,2022,35854.6
Bananas,2023,36835
Barley,2000,1997.2
Barley,2001,1840
Barley,2002,2160
Barley,2003,2006
Barley,2004,1975
Barley,2005,1958
Barley,2006,1937.8
Barley,2007,2058.2
Barley,2008,1991.4
Barley,2009,2393.5
Barley,2010,2171.7
Barley,2011,2357.4
Barley,2012,2519.4
Barley,2013,2518
Barley,2014,2717.1
Barley,2015,2281.5
Barley,2016,2440.7
Barley,2017,2662.8
Barley,2018,2694.9
Barley,2019,2837.2
Barley,2020,2920.5
Barley,2021,2795.7
Barley,2022,3025.1
Barley,2023,3044.5
Beans dry,2000,487.1
Beans dry,2001,547.6
Beans dry,2002,333.5
Beans dry,2003,456.2
Beans dry,2004,328.4
Beans dry,2005,326.9
Beans dry,2006,382.5
Beans dry,2007,393
Beans dry,2008,376.3
Beans dry,2009,405
Beans dry,2010,444.5
Beans dry,2011,393.6
Beans dry,2012,413.2
Beans dry,2013,441.8
Beans dry,2014,423
Beans dry,2015,414
Beans dry,2016,413.7
Beans dry,2017,413.7
Beans dry,2018,413.8
Beans dry,2019,414.2
Beans dry,2020,414.9
Beans dry,2021,415.8
Beans dry,2022,416.4
Beans dry,2023,417.1
Cabbages,2000,22878
Cabbages,2001,22438.9
Cabbages,2002,22000
Cabbages,2003,23062.4
Cabbages,2004,21931
Cabbages,2005,21242.2
Cabbages,2006,22237.9
Cabbages,2007,22425.7
Cabbages,2008,22218
Cabbages,2009,22145.7
Cabbages,2010,24230.9
Cabbages,2011,21542
Cabbages,2012,21569.2
Cabbages,2013,22940.9
Cabbages,2014,22590.1
Cabbages,2015,22240.9
Cabbages,2016,22350.3
Cabbages,2017,22296.2
Cabbages,2018,22649.1
Cabbages,2019,22817.5
Cabbages,2020,23122.2
Cabbages,2021,23203.9
Cabbages,2022,23227
Cabbages,2023,23207.9
Cantaloupes and other melons,2000,20476.2
Cantaloupes and other melons,2001,21021.3
Cantaloupes and other melons,2002,21085.7
Cantaloupes and other melons,2003,21217.1
Cantaloupes and other melons,2004,21347
Cantaloupes and other melons,2005,21454.1
Cantaloupes and other melons,2006,21549.9
Cantaloupes and other melons,2007,21647.3
Cantaloupes and other melons,2008,21744.6
Cantaloupes and other melons,2009,21841.6
Cantaloupes and other melons,2010,21938.1
Cantaloupes and other melons,2011,18731.6
Cantaloupes and other melons,2012,20815.8
Cantaloupes and other melons,2013,20666.7
Cantaloupes and other melons,2014,20567.6
Cantaloupes and other melons,2015,20547.6
Cantaloupes and other melons,2016,20777.8
Cantaloupes and other melons,2017,21940
Cantaloupes and other melons,2018,22796.3
Cantaloupes and other melons,2019,22210.5
Cantaloupes and other melons,2020,22426.2
Cantaloupes and other melons,2021,19706.7
Cantaloupes and other melons,2022,22029.4
Cantaloupes and other melons,2023,22029.4
Carrots and turnips,2000,14583.3
Carrots and turnips,2001,14687.4
Carrots and turnips,2002,14740.2
Carrots and turnips,2003,14792.4
Carrots and turnips,2004,14848.1
Carrots and turnips,2005,14914.6
Carrots and turnips,2006,14967
Carrots and turnips,2007,15019.2
Carrots and turnips,2008,15070.7
Carrots and turnips,2009,15121.4
Carrots and turnips,2010,15171.1
Carrots and turnips,2011,15219.9
Carrots and turnips,2012,15294.1
Carrots and turnips,2013,15294.1
Carrots and turnips,2014,15345.9
Carrots and turnips,2015,15405.8
Carrots and turnips,2016,15349.6
Carrots and turnips,2017,15413.2
Cashew nuts in shell,2000,758
Cashew nuts in shell,2001,642.9
Cashew nuts in shell,2002,626.7
